,Issuer Name,Insured Bonds,State Code,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,USPS,NAME,INTPTLAT,INTPTLONG                                                                                                               
1827,Charter Township of Lyon MI,N,MI,1.704311875,24.40956201,8/31/2017,2,5/1/2024,745000,1.65,24.40956201,75000,,68,Oakland,MI,Oakland,42.660452,-83.38421
1828,Charter Township of Lyon MI,N,MI,2.651545701,29.17135027,8/31/2017,2,5/1/2025,760000,1.85,29.17135027,,,56,Oakland,MI,Oakland,42.660452,-83.38421
1829,City of Petoskey MI Water & Sewer Revenue,N,MI,0.494550368,27.91019518,6/13/2017,3,2/1/2023,210000,1.63,27.91019518,,,98,Emmet,MI,Emmet,45.590094,-84.986822
1830,City of Petoskey MI Water & Sewer Revenue,N,MI,1.463235236,25.92378497,6/13/2017,3,2/1/2024,220000,1.77,25.92378497,,,85,Emmet,MI,Emmet,45.590094,-84.986822
1831,City of Petoskey MI Water & Sewer Revenue,N,MI,2.403332649,25.91811044,6/13/2017,3,2/1/2025,230000,1.93,25.91811044,,,76,Emmet,MI,Emmet,45.590094,-84.986822
1832,City of Petoskey MI Water & Sewer Revenue,N,MI,3.316082337,28.0930607,6/13/2017,3,2/1/2026,240000,2.1,28.0930607,,,68,Emmet,MI,Emmet,45.590094,-84.986822
1833,City of Petoskey MI Water & Sewer Revenue,N,MI,4.201948948,26.75049411,6/13/2017,3,2/1/2027,245000,2.21,26.75049411,,,63,Emmet,MI,Emmet,45.590094,-84.986822
1834,City of Peosta IA,N,IA,0.817762229,50.0471726,11/29/2017,3,6/1/2023,165000,1.95,50.0471726,,,85,Dubuque,IA,Dubuque,42.463481,-90.878771
1835,City of Peosta IA,N,IA,1.772500131,52.45915616,11/29/2017,3,6/1/2024,165000,2.1,52.45915616,,,75,Dubuque,IA,Dubuque,42.463481,-90.878771
1836,City of Peosta IA,N,IA,2.700185886,54.71283288,11/29/2017,3,6/1/2025,175000,2.25,54.71283288,,,58,Dubuque,IA,Dubuque,42.463481,-90.878771
1837,City of Peosta IA,N,IA,3.60138255,57.95807945,11/29/2017,3,6/1/2026,180000,2.4,57.95807945,,,46,Dubuque,IA,Dubuque,42.463481,-90.878771
1838,Marin Water District Financing Authority,N,CA,0.89583012,-4.778255677,8/1/2017,5,7/1/2023,720000,1.33,-4.778255677,,AA,90,Marin,CA,Marin,38.051367,-122.746396
1839,New Jersey Infrastructure Bank,N,NJ,0.080506257,-2.590445951,5/25/2017,5,9/1/2022,1015000,1.41,-2.590445951,50000,AAA,89,Mercer,NJ,Mercer,40.282503,-74.703724
1840,New Jersey Infrastructure Bank,N,NJ,1.951514987,-4.179473263,5/25/2017,5,9/1/2024,1125000,1.72,-4.179473263,30000,AAA,88,Mercer,NJ,Mercer,40.282503,-74.703724
1841,New Jersey Infrastructure Bank,N,NJ,1.038182583,-3.911249315,11/21/2017,5,9/1/2023,790000,1.49,-3.911249315,,AAA,91,Mercer,NJ,Mercer,40.282503,-74.703724
1842,New Jersey Infrastructure Bank,N,NJ,3.663103077,-5.021986301,11/21/2017,5,9/1/2026,910000,1.8,-5.021986301,,AAA,66,Mercer,NJ,Mercer,40.282503,-74.703724
1843,New Jersey Infrastructure Bank,N,NJ,1.948938666,15.99805479,11/21/2017,5,9/1/2024,95000,1.8,15.99805479,,AAA,76,Mercer,NJ,Mercer,40.282503,-74.703724
1844,Marin Water District Financing Authority,N,CA,1.829364478,-7.70079148,8/1/2017,5,7/1/2024,755000,1.45,-7.70079148,45000,AA,83,Marin,CA,Marin,38.051367,-122.746396
1845,Marin Water District Financing Authority,N,CA,2.722123069,-8.777122002,8/1/2017,5,7/1/2025,790000,1.59,-8.777122002,10000,AA,76,Marin,CA,Marin,38.051367,-122.746396
1846,Marin Water District Financing Authority,N,CA,3.577487604,-4.57473389,8/1/2017,5,7/1/2026,830000,1.77,-4.57473389,180000,AA,72,Marin,CA,Marin,38.051367,-122.746396
1847,New Jersey Infrastructure Bank,N,NJ,3.798101524,9.206886553,5/25/2017,3,9/1/2026,1225000,2.15,9.206886553,30000,AAA,64,Mercer,NJ,Mercer,40.282503,-74.703724
1848,New Jersey Infrastructure Bank,N,NJ,0.080505629,-3.969430137,11/21/2017,5,9/1/2022,735000,1.38,-3.969430137,,AAA,97,Mercer,NJ,Mercer,40.282503,-74.703724
1849,New Jersey Infrastructure Bank,N,NJ,2.825177372,-5.19030137,11/21/2017,5,9/1/2025,855000,1.7,-5.19030137,250000,AAA,72,Mercer,NJ,Mercer,40.282503,-74.703724
1850,New Jersey Infrastructure Bank,N,NJ,4.757149206,,11/21/2017,2.125,9/1/2027,940000,2.239,,,AAA,37,Mercer,NJ,Mercer,40.282503,-74.703724
1851,New Jersey Infrastructure Bank,N,NJ,0.080493997,17.03056986,11/21/2017,5,9/1/2022,85000,1.59,17.03056986,,AAA,87,Mercer,NJ,Mercer,40.282503,-74.703724
1852,New Jersey Infrastructure Bank,N,NJ,2.821461663,19.80969863,11/21/2017,5,9/1/2025,100000,1.95,19.80969863,,AAA,65,Mercer,NJ,Mercer,40.282503,-74.703724
1853,New Jersey Infrastructure Bank,N,NJ,3.657015947,19.9780137,11/21/2017,5,9/1/2026,105000,2.05,19.9780137,,AAA,58,Mercer,NJ,Mercer,40.282503,-74.703724
1854,Village of Larchmont NY,N,NY,2.946198048,-1.822162964,2/1/2017,2,9/1/2025,400000,2,-1.822162964,,,44,Westchester,NY,Westchester,41.152686,-73.745753
1855,City of Laredo TX Waterworks & Sewer System Revenue,N,TX,2.389999166,34.42975342,11/15/2017,5,3/1/2025,375000,2.06,34.42975342,,AA-,76,Webb,TX,Webb,27.760799,-99.340752
1856,City of Laredo TX Waterworks & Sewer System Revenue,N,TX,4.062317689,39.89310411,11/15/2017,5,3/1/2027,415000,2.32,39.89310411,,AA-,62,Webb,TX,Webb,27.760799,-99.340752
1857,City of Little Rock AR Water Reclamation System Revenue,N,AR,0.163644091,42.99474538,10/26/2017,4,10/1/2022,235000,1.65,42.99474538,,,98,Pulaski,AR,Pulaski,34.770311,-92.312996
1858,City of Little Rock AR Water Reclamation System Revenue,N,AR,2.052790296,49.14451556,10/26/2017,4,10/1/2024,250000,2,49.14451556,,,83,Pulaski,AR,Pulaski,34.770311,-92.312996
1859,City of Las Vegas NV,N,NV,0.814254587,147.6070779,9/27/2017,2.25,6/1/2023,260000,2.74,147.6070779,,,66,Clark,NV,Clark,36.21413,-115.014398
1860,City of Las Vegas NV,N,NV,1.767391555,158.0100855,9/27/2017,2.5,6/1/2024,265000,2.99,158.0100855,,,46,Clark,NV,Clark,36.21413,-115.014398
1861,City of Las Vegas NV,N,NV,2.68055709,165.2539928,9/27/2017,3,6/1/2025,275000,3.21,165.2539928,,,35,Clark,NV,Clark,36.21413,-115.014398
1862,City of Las Vegas NV,N,NV,3.572945667,169.6296533,9/27/2017,3,6/1/2026,280000,3.39,169.6296533,,,28,Clark,NV,Clark,36.21413,-115.014398
1863,City of Las Vegas NV,N,NV,4.415552604,174.3790668,9/27/2017,3.25,6/1/2027,290000,3.55,174.3790668,,,25,Clark,NV,Clark,36.21413,-115.014398
1864,City of Las Vegas NV Special Improvement District No 813,N,NV,0.812474263,155.4220296,8/2/2017,3,6/1/2023,250000,2.92,155.4220296,,,69,#N/A Field Not Applicable,NV,Clark County,36.21413,-115.014398
1865,City of Las Vegas NV Special Improvement District No 813,N,NV,1.760533083,167.5234814,8/2/2017,3,6/1/2024,260000,3.19,167.5234814,,,48,#N/A Field Not Applicable,NV,Clark County,36.21413,-115.014398
1866,City of Las Vegas NV Special Improvement District No 813,N,NV,2.68055709,171.4627105,8/2/2017,3,6/1/2025,265000,3.38,171.4627105,,,34,#N/A Field Not Applicable,NV,Clark County,36.21413,-115.014398
1867,City of Las Vegas NV Special Improvement District No 813,N,NV,3.558404818,176.5544668,8/2/2017,3.25,6/1/2026,275000,3.57,176.5544668,,,28,#N/A Field Not Applicable,NV,Clark County,36.21413,-115.014398
1868,City of Las Vegas NV Special Improvement District No 813,N,NV,4.393604166,180.299722,8/2/2017,3.5,6/1/2027,285000,3.72,180.299722,,,25,#N/A Field Not Applicable,NV,Clark County,36.21413,-115.014398
1869,City of Laurel MS Water & Sewer System Revenue,N,MS,0.814603562,35.79953751,7/6/2017,3,6/1/2023,160000,1.65,35.79953751,,,86,Jones,MS,Jones,31.616601,-89.168532
1870,City of Laurel MS Water & Sewer System Revenue,N,MS,1.765111141,35.07545734,7/6/2017,3,6/1/2024,165000,1.8,35.07545734,,,74,Jones,MS,Jones,31.616601,-89.168532
1871,City of Laurel MS Water & Sewer System Revenue,N,MS,2.703914464,39.43575579,7/6/2017,2.5,6/1/2025,175000,2,39.43575579,,,61,Jones,MS,Jones,31.616601,-89.168532
1872,City of Laurel MS Water & Sewer System Revenue,N,MS,3.611422975,45.25819183,7/6/2017,2.5,6/1/2026,180000,2.2,45.25819183,,,53,Jones,MS,Jones,31.616601,-89.168532
1873,City of Laurel MS Water & Sewer System Revenue,N,MS,4.494590749,43.73892469,7/6/2017,2.5,6/1/2027,190000,2.3,43.73892469,,,46,Jones,MS,Jones,31.616601,-89.168532
1874,City of Lawrence KS Water & Sewage System Revenue,N,KS,0.246676618,14.29239726,12/28/2017,5,11/1/2022,760000,1.79,14.29239726,,,95,Douglas,KS,Douglas,38.896417,-95.290947
1875,City of Lawrence KS Water & Sewage System Revenue,N,KS,1.202751929,19.26912329,12/28/2017,5,11/1/2023,795000,1.9,19.26912329,,,87,Douglas,KS,Douglas,38.896417,-95.290947
1876,City of Lawrence KS Water & Sewage System Revenue,N,KS,2.115111236,21.1387726,12/28/2017,5,11/1/2024,835000,1.99,21.1387726,15000,,80,Douglas,KS,Douglas,38.896417,-95.290947
1877,City of Lawrence KS Water & Sewage System Revenue,N,KS,2.988266362,20.28404658,12/28/2017,5,11/1/2025,885000,2.07,20.28404658,,,69,Douglas,KS,Douglas,38.896417,-95.290947
1878,City of Lawrence KS Water & Sewage System Revenue,N,KS,3.82489256,21.82360548,12/28/2017,5,11/1/2026,920000,2.16,21.82360548,,,61,Douglas,KS,Douglas,38.896417,-95.290947
1879,Lancaster Municipal Utility District No 1,N,TX,0.005555084,93.66532877,12/1/2017,2.4,8/1/2022,50000,2.4,93.66532877,,,99,Dallas,TX,Dallas,32.766987,-96.778424
1880,Lancaster Municipal Utility District No 1,N,TX,1.933468623,112.114474,12/1/2017,2.8,8/1/2024,50000,2.8,112.114474,,,74,Dallas,TX,Dallas,32.766987,-96.778424
1881,Langham Creek Utility District,Y,TX,2.564024974,47.27337532,7/1/2017,2,4/1/2025,130000,2.1,47.27337532,,,70,Harris,TX,Harris,29.857273,-95.393037
1882,Village of Larchmont NY,N,NY,0.080478142,-3.722012474,2/1/2017,2,9/1/2022,370000,1.6,-3.722012474,,,98,Westchester,NY,Westchester,41.152686,-73.745753
1883,Village of Larchmont NY,N,NY,2.010975896,5.337942944,2/1/2017,2,9/1/2024,390000,1.95,5.337942944,,,50,Westchester,NY,Westchester,41.152686,-73.745753
1884,City of Laredo TX Waterworks & Sewer System Revenue,N,TX,1.498312334,36.14719178,11/15/2017,5,3/1/2024,355000,1.96,36.14719178,,AA-,85,Webb,TX,Webb,27.760799,-99.340752
1885,City of Laredo TX Waterworks & Sewer System Revenue,N,TX,3.240389075,36.19846575,11/15/2017,5,3/1/2026,395000,2.19,36.19846575,25000,AA-,68,Webb,TX,Webb,27.760799,-99.340752
1886,City of Little Rock AR Water Reclamation System Revenue,N,AR,1.126638028,48.78441962,10/26/2017,4,10/1/2023,245000,1.85,48.78441962,,,91,Pulaski,AR,Pulaski,34.770311,-92.312996
1887,City of Little Rock AR Water Reclamation System Revenue,N,AR,2.945523735,54.50980624,10/26/2017,4,10/1/2025,265000,2.2,54.50980624,,,74,Pulaski,AR,Pulaski,34.770311,-92.312996
1888,Lazy Nine Municipal Utility District No 1B,Y,TX,1.987980108,56.41335342,11/1/2017,3,9/1/2024,135000,2.15,56.41335342,,AA-,74,Travis,TX,Travis,30.239513,-97.69127
1889,City of Le Sueur MN,N,MN,0.329393175,19.11958626,8/10/2017,2,12/1/2022,165000,1.6,19.11958626,,,90,Le Sueur,MN,Le Sueur,44.373424,-93.730143
1890,City of Le Sueur MN,N,MN,4.075721797,12.62691273,8/10/2017,2.5,12/1/2026,180000,2.1,12.62691273,,,35,Le Sueur,MN,Le Sueur,44.373424,-93.730143
1891,City of Lubbock TX,N,TX,0.522096715,21.32014867,4/15/2017,5,2/15/2023,1385000,1.88,21.32014867,190000,AA+,89,Lubbock,TX,Lubbock,33.611469,-101.819944
1892,City of Lubbock TX,N,TX,2.350981696,28.15630962,4/15/2017,5,2/15/2025,835000,2.28,28.15630962,30000,AA+,75,Lubbock,TX,Lubbock,33.611469,-101.819944
1893,City of Lubbock TX,N,TX,3.197625211,27.54596573,4/15/2017,5,2/15/2026,880000,2.42,27.54596573,50000,AA+,69,Lubbock,TX,Lubbock,33.611469,-101.819944
1894,City of Lubbock TX,N,TX,4.028309576,25.8593197,4/15/2017,5,2/15/2027,925000,2.52,25.8593197,,AA+,64,Lubbock,TX,Lubbock,33.611469,-101.819944
1895,City of Monroe NC Enterprise System Revenue,N,NC,0.5649631,35.26120548,12/21/2017,5,3/1/2023,325000,2.03,35.26120548,,A+,93,Union,NC,Union,34.99182,-80.530426
1896,City of Monroe NC Enterprise System Revenue,N,NC,2.388316176,37.40950959,12/21/2017,5,3/1/2025,360000,2.21,37.40950959,,A+,71,Union,NC,Union,34.99182,-80.530426
1897,City of Monroe NC Enterprise System Revenue,N,NC,3.241184271,36.43933699,12/21/2017,5,3/1/2026,380000,2.29,36.43933699,180000,A+,62,Union,NC,Union,34.99182,-80.530426
1898,Town of Mount Pleasant NY,N,NY,0.653244876,7.892091734,4/12/2017,3,4/1/2023,585000,1.8,7.892091734,,,78,Westchester,NY,Westchester,41.152686,-73.745753
1899,Town of Mount Pleasent SC Water & Sewer Revenue,N,SC,1.746525552,10.90721001,5/17/2017,5,6/1/2024,805000,1.84,10.90721001,,AA+,88,Charleston,SC,Charleston,32.800458,-79.94248
1900,Village of Mount Prospect IL,N,IL,0.329200368,30.78791781,12/20/2017,4,12/1/2022,315000,1.86,30.78791781,,,97,Cook,IL,Cook,41.894294,-87.645455
1901,Village of Mount Prospect IL,N,IL,1.289922408,32.29919178,12/20/2017,4,12/1/2023,345000,1.98,32.29919178,,,88,Cook,IL,Cook,41.894294,-87.645455
1902,Village of Mount Prospect IL,N,IL,3.105773033,34.43006575,12/20/2017,4,12/1/2025,405000,2.21,34.43006575,,,69,Cook,IL,Cook,41.894294,-87.645455
1903,Marin Water District Financing Authority,N,CA,4.398581574,2.404113549,8/1/2017,5,7/1/2027,870000,1.95,2.404113549,40000,AA,66,Marin,CA,Marin,38.051367,-122.746396
1904,New Jersey Infrastructure Bank,N,NJ,2.825967214,-1.977117412,5/25/2017,5,9/1/2025,1170000,1.9,-1.977117412,,AAA,80,Mercer,NJ,Mercer,40.282503,-74.703724
1905,New Jersey Infrastructure Bank,N,NJ,1.951182327,-6.001945205,11/21/2017,5,9/1/2024,815000,1.58,-6.001945205,,AAA,81,Mercer,NJ,Mercer,40.282503,-74.703724
1906,New Jersey Infrastructure Bank,N,NJ,4.65199094,37.47972603,11/21/2017,3,9/1/2027,110000,2.3,37.47972603,,AAA,38,Mercer,NJ,Mercer,40.282503,-74.703724
1907,Northwest Harris County Municipal Utility District No 16,Y,TX,1.114777448,67.01786412,3/1/2017,5.5,10/1/2023,25000,2.5,67.01786412,,,94,Harris,TX,Harris,29.857273,-95.393037
1908,Northwest Harris County Municipal Utility District No 16,Y,TX,2.028287559,71.69905972,3/1/2017,5,10/1/2024,50000,2.7,71.69905972,,,84,Harris,TX,Harris,29.857273,-95.393037
1909,Northwest Harris County Municipal Utility District No 12,Y,TX,0.563687517,62.53433973,12/1/2017,5,3/1/2023,50000,2.1,62.53433973,,,98,Harris,TX,Harris,29.857273,-95.393037
1910,City of Norwalk IA,N,IA,0.816861652,-10.84868659,1/3/2017,3,6/1/2023,430000,2,-10.84868659,,,91,Warren,IA,Warren,41.332446,-93.568751
1911,City of Norwalk IA,N,IA,1.777077013,30.0496243,7/6/2017,2.5,6/1/2024,205000,1.75,30.0496243,,,79,Warren,IA,Warren,41.332446,-93.568751
1912,Northwest Harris County Municipal Utility District No 5/TX,Y,TX,0.7321818,44.66232432,8/1/2017,4,5/1/2023,1025000,1.8,44.66232432,20000,AA-,94,Harris,TX,Harris,29.857273,-95.393037
1913,Northwest Harris County Municipal Utility District No 5/TX,Y,TX,1.701680095,49.78856332,8/1/2017,2,5/1/2024,1030000,2,49.78856332,,AA-,71,Harris,TX,Harris,29.857273,-95.393037
1914,Northwest Harris County Municipal Utility District No 6,Y,TX,0.654049164,46.13393151,12/1/2017,2,4/1/2023,50000,2,46.13393151,,,92,Harris,TX,Harris,29.857273,-95.393037
1915,Northwest Harris County Municipal Utility District No 6,Y,TX,1.60472034,50.52612877,12/1/2017,3,4/1/2024,50000,2.15,50.52612877,,,83,Harris,TX,Harris,29.857273,-95.393037
1916,Northwest Harris County Municipal Utility District No 16,Y,TX,0.163552117,62.56130929,3/1/2017,5.5,10/1/2022,25000,2.3,62.56130929,,,97,Harris,TX,Harris,29.857273,-95.393037
1917,City of Norwalk IA,N,IA,1.770261593,-9.35555311,1/3/2017,3,6/1/2024,445000,2.15,-9.35555311,,,83,Warren,IA,Warren,41.332446,-93.568751
1918,City of Norwalk IA,N,IA,0.818045652,25.31091586,7/6/2017,2.5,6/1/2023,200000,1.55,25.31091586,,,88,Warren,IA,Warren,41.332446,-93.568751
1919,State of Nevada,N,NV,0.729486264,4.757112329,11/7/2017,5,5/1/2023,345000,1.47,4.757112329,5000,AA+,86,Carson City,NV,Carson City,39.15306,-119.747368
1920,State of Nevada,N,NV,1.662156467,4.665750685,11/7/2017,5,5/1/2024,365000,1.6,4.665750685,,AA+,80,Carson City,NV,Carson City,39.15306,-119.747368
1921,State of Nevada,N,NV,2.555879521,5.394676712,11/7/2017,5,5/1/2025,380000,1.74,5.394676712,,AA+,73,Carson City,NV,Carson City,39.15306,-119.747368
1922,State of Nevada,N,NV,3.4141253,9.002079452,11/7/2017,5,5/1/2026,400000,1.9,9.002079452,400000,AA+,76,Carson City,NV,Carson City,39.15306,-119.747368
1923,State of Nevada,N,NV,4.238465376,10.71800822,11/7/2017,5,5/1/2027,415000,2.02,10.71800822,,AA+,57,Carson City,NV,Carson City,39.15306,-119.747368
1924,State of Nevada,N,NV,0.005555177,9.181739726,11/7/2017,5,8/1/2022,310000,1.42,9.181739726,,AA+,96,Carson City,NV,Carson City,39.15306,-119.747368
1925,State of Nevada,N,NV,0.976485784,9.519972603,11/7/2017,5,8/1/2023,310000,1.55,9.519972603,,AA+,81,Carson City,NV,Carson City,39.15306,-119.747368
1926,State of Nevada,N,NV,1.909613544,11.33005753,11/7/2017,5,8/1/2024,310000,1.7,11.33005753,,AA+,77,Carson City,NV,Carson City,39.15306,-119.747368
1927,State of Nevada,N,NV,2.803981139,13.04184384,11/7/2017,5,8/1/2025,310000,1.85,13.04184384,,AA+,69,Carson City,NV,Carson City,39.15306,-119.747368
1928,State of Nevada,N,NV,3.654978907,15.06967397,11/7/2017,5,8/1/2026,310000,1.99,15.06967397,10000,AA+,69,Carson City,NV,Carson City,39.15306,-119.747368
1929,State of Nevada,N,NV,4.486214697,15.40969041,11/7/2017,5,8/1/2027,310000,2.09,15.40969041,5000,AA+,50,Carson City,NV,Carson City,39.15306,-119.747368
1930,Village of Prairie du Sac WI,N,WI,1.530358331,13.44151549,3/23/2017,2.5,3/1/2024,125000,2,13.44151549,,,78,Sauk,WI,Sauk,43.428001,-89.943318
1931,Village of Richton Park IL,Y,IL,1.286043195,121.3450749,9/28/2017,4,12/1/2023,245000,2.6,121.3450749,,,84,Cook,IL,Cook,41.894294,-87.645455
1932,Village of Richton Park IL,Y,IL,3.947459071,134.7798618,9/28/2017,4,12/1/2026,275000,3.15,134.7798618,,,64,Cook,IL,Cook,41.894294,-87.645455
1933,Village of Richton Park IL,Y,IL,2.207139614,126.6884585,9/28/2017,4,12/1/2024,250000,2.8,126.6884585,40000,,76,Cook,IL,Cook,41.894294,-87.645455
1934,State of Minnesota,N,MN,0.809217368,18.96006864,11/9/2017,3.5,6/1/2023,335000,2.25,18.96006864,,AA+,86,Ramsey,MN,Ramsey,45.015204,-93.099965
1935,State of Minnesota,N,MN,3.586008911,39.6369143,11/9/2017,2.7,6/1/2026,365000,2.7,39.6369143,,AA+,50,Ramsey,MN,Ramsey,45.015204,-93.099965
1936,Massachusetts Clean Water Trust/The,N,MA,2.364393074,6.781479716,4/13/2017,5,2/1/2025,8235000,2.06,6.781479716,140000,AAA,84,Suffolk,MA,Suffolk,42.338551,-71.018253
1937,State of Vermont,N,VT,0.036101505,1.562361986,9/13/2017,2.25,8/15/2022,1725000,1.17,1.562361986,,AA+,99,Washington,VT,Washington,44.274969,-72.609444
1938,State of Vermont,N,VT,4.427278785,11.99541241,9/13/2017,5,8/15/2027,1500000,1.97,11.99541241,15000,AA+,67,Washington,VT,Washington,44.274969,-72.609444
1939,City of Verona WI,N,WI,0.819835878,19.40027245,7/20/2017,2,6/1/2023,340000,1.55,19.40027245,,,83,Dane,WI,Dane,43.067468,-89.417852
1940,Western Riverside Water & Wastewater Financing Authority,N,CA,0.080449818,97.37645781,4/12/2017,2.375,9/1/2022,195000,2.57,97.37645781,,,100,#N/A Field Not Applicable,CA,Riverside County,33.729828,-116.002239
1941,Western Riverside Water & Wastewater Financing Authority,N,CA,1.049566453,110.4906426,4/12/2017,2.625,9/1/2023,195000,2.87,110.4906426,,,84,#N/A Field Not Applicable,CA,Riverside County,33.729828,-116.002239
1942,Western Riverside Water & Wastewater Financing Authority,N,CA,1.941639284,114.0096568,4/12/2017,5,9/1/2024,200000,3.07,114.0096568,,,77,#N/A Field Not Applicable,CA,Riverside County,33.729828,-116.002239
1943,Stuart Municipal Utilities Electric Revenue,N,IA,0.570537988,67.32168493,12/28/2017,2.75,3/1/2023,275000,2.3,67.32168493,,,89,Guthrie,IA,Guthrie,41.683573,-94.501272
1944,Stuart Municipal Utilities Electric Revenue,N,IA,1.527911579,72.1503589,12/28/2017,2.75,3/1/2024,285000,2.4,72.1503589,,,73,Guthrie,IA,Guthrie,41.683573,-94.501272
1945,Stuart Municipal Utilities Electric Revenue,N,IA,2.451333993,75.45856438,12/28/2017,3,3/1/2025,290000,2.5,75.45856438,,,61,Guthrie,IA,Guthrie,41.683573,-94.501272
1946,City of Sugar Land TX Waterworks & Sewer System Revenue,N,TX,0.036099906,19.1821724,4/15/2017,5,8/15/2022,775000,1.91,19.1821724,,AA,96,Fort Bend,TX,Fort Bend,29.526602,-95.771015
1947,City of Sugar Land TX Waterworks & Sewer System Revenue,N,TX,0.99364517,22.5964046,4/15/2017,5,8/15/2023,815000,2.11,22.5964046,165000,AA,90,Fort Bend,TX,Fort Bend,29.526602,-95.771015
1948,City of Sugar Land TX Waterworks & Sewer System Revenue,N,TX,1.906487258,23.45274258,4/15/2017,5,8/15/2024,855000,2.28,23.45274258,20000,AA,84,Fort Bend,TX,Fort Bend,29.526602,-95.771015
1949,City of Sugar Land TX Waterworks & Sewer System Revenue,N,TX,2.780396284,24.40525038,4/15/2017,5,8/15/2025,900000,2.44,24.40525038,75000,AA,74,Fort Bend,TX,Fort Bend,29.526602,-95.771015
1950,City of Sugar Land TX Waterworks & Sewer System Revenue,N,TX,3.617972098,24.73055291,4/15/2017,5,8/15/2026,945000,2.57,24.73055291,100000,AA,66,Fort Bend,TX,Fort Bend,29.526602,-95.771015
1951,City of Sulphur Springs TX,N,TX,0.080476601,17.78999058,8/1/2017,4,9/1/2022,390000,1.4,17.78999058,,,97,Hopkins,TX,Hopkins,33.148967,-95.565434
1952,City of Sulphur Springs TX,N,TX,1.042384741,17.84032323,8/1/2017,4,9/1/2023,405000,1.55,17.84032323,,,84,Hopkins,TX,Hopkins,33.148967,-95.565434
1953,City of Sulphur Springs TX,N,TX,1.967030934,17.70741901,8/1/2017,4,9/1/2024,425000,1.7,17.70741901,,,77,Hopkins,TX,Hopkins,33.148967,-95.565434
1954,City of Sulphur Springs TX,N,TX,2.858267355,17.70059415,8/1/2017,4,9/1/2025,160000,1.85,17.70059415,,,68,Hopkins,TX,Hopkins,33.148967,-95.565434
1955,City of Sulphur Springs TX,N,TX,3.717539414,19.33359956,8/1/2017,4,9/1/2026,165000,2,19.33359956,50000,,59,Hopkins,TX,Hopkins,33.148967,-95.565434
1956,City of Sulphur Springs TX,N,TX,4.546470252,23.50366556,8/1/2017,4,9/1/2027,170000,2.15,23.50366556,,,51,Hopkins,TX,Hopkins,33.148967,-95.565434
1957,Sunfield Municipal Utility District No 1,Y,TX,0.080472328,47.50396464,2/1/2017,3,9/1/2022,160000,2.25,47.50396464,,A,98,Hays,TX,Hays,30.061225,-98.029267
1958,Sunfield Municipal Utility District No 1,Y,TX,1.048798843,54.8115298,2/1/2017,3,9/1/2023,165000,2.45,54.8115298,,A,83,Hays,TX,Hays,30.061225,-98.029267
1959,Sunfield Municipal Utility District No 1,Y,TX,1.987363132,57.20204039,2/1/2017,3,9/1/2024,175000,2.6,57.20204039,,A,74,Hays,TX,Hays,30.061225,-98.029267
1960,Grand Mission Municipal Utility District No 2,Y,TX,0.080456897,53.87682253,9/1/2017,4,9/1/2022,175000,1.7,53.87682253,,AA-,97,Harris,TX,Harris,29.857273,-95.393037
1961,Grand Mission Municipal Utility District No 2,Y,TX,1.04754814,54.11132521,9/1/2017,3,9/1/2023,175000,1.85,54.11132521,,AA-,84,Harris,TX,Harris,29.857273,-95.393037
1962,Grand Mission Municipal Utility District No 2,Y,TX,1.985091964,54.01423726,9/1/2017,3,9/1/2024,175000,2,54.01423726,,AA-,70,Harris,TX,Harris,29.857273,-95.393037
1963,City of Upper Arlington OH,N,OH,0.329435846,-12.66788278,1/10/2017,3,12/1/2022,885000,1.88,-12.66788278,,AAA,99,Franklin,OH,Franklin,39.969875,-83.009086
1964,City of Upper Arlington OH,N,OH,1.298099511,-10.14181582,1/10/2017,3,12/1/2023,895000,2.04,-10.14181582,,AAA,87,Franklin,OH,Franklin,39.969875,-83.009086
1965,City of Upper Arlington OH,N,OH,2.238580119,-13.72471696,1/10/2017,3,12/1/2024,910000,2.14,-13.72471696,,AAA,79,Franklin,OH,Franklin,39.969875,-83.009086
1966,City of Upper Arlington OH,N,OH,3.152650299,-15.03055245,1/10/2017,3,12/1/2025,920000,2.25,-15.03055245,,AAA,70,Franklin,OH,Franklin,39.969875,-83.009086
1967,Williamson County Municipal Utility District No 13,Y,TX,0.036091842,47.9838058,2/28/2017,4.75,8/15/2022,115000,2.25,47.9838058,,,89,Williamson,TX,Williamson,30.649082,-97.605065
1968,Williamson County Municipal Utility District No 13,Y,TX,1.009062894,49.30477904,2/28/2017,2.25,8/15/2023,120000,2.4,49.30477904,,,81,Williamson,TX,Williamson,30.649082,-97.605065
1969,Williamson County Municipal Utility District No 13,Y,TX,1.958274638,50.81643535,2/28/2017,2.25,8/15/2024,125000,2.55,50.81643535,,,66,Williamson,TX,Williamson,30.649082,-97.605065
1970,Williamson County Municipal Utility District No 22,N,TX,0.08045945,92.58657064,6/8/2017,2.35,9/1/2022,50000,2.35,92.58657064,,,99,Williamson,TX,Williamson,30.649082,-97.605065
1971,Williamson County Municipal Utility District No 22,N,TX,1.050878717,96.32910324,6/8/2017,2.55,9/1/2023,50000,2.55,96.32910324,,,79,Williamson,TX,Williamson,30.649082,-97.605065
